platform,title,company,location,url
"linkedin","Frontend Developer","Swiggy","India","https://in.linkedin.com/jobs/view/frontend-developer-at-swiggy-4342070339?position=1&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=%2BQipXB27YSD4%2FoMn0XSiVg%3D%3D"
"linkedin","Software Engineer, Frontend","DoorDash","Pune, Maharashtra, India","https://in.linkedin.com/jobs/view/software-engineer-frontend-at-doordash-4248552076?position=2&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=bdkETl%2FkX9Ief96rDNxPVA%3D%3D"
"linkedin","UI 3","Flipkart","Bengaluru, Karnataka, India","https://in.linkedin.com/jobs/view/ui-3-at-flipkart-4323527381?position=3&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=dspzfSPbUU5%2BCx46BMDpEg%3D%3D"
"linkedin","Frontend Software Engineer","ShyftLabs","Noida, Uttar Pradesh, India","https://in.linkedin.com/jobs/view/frontend-software-engineer-at-shyftlabs-4340336468?position=4&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=q9uYstYwTnyQDB1WpO7Z2A%3D%3D"
"linkedin","Software Engineer - Frontend","PayPal","Bengaluru, Karnataka, India","https://in.linkedin.com/jobs/view/software-engineer-frontend-at-paypal-4348380709?position=5&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=%2Fn74ZXaP4Ns5%2F1XXL8ZxDw%3D%3D"
"linkedin","Front-end Developer","Faspay","Sawah Besar, Jakarta, Indonesia","https://id.linkedin.com/jobs/view/front-end-developer-at-faspay-4342320735?position=6&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=hKPk%2B6m1u%2B7HAbWUl8CK4g%3D%3D"
"linkedin","UI Developer","Persistent Systems","Bengaluru, Karnataka, India","https://in.linkedin.com/jobs/view/ui-developer-at-persistent-systems-4205911056?position=7&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=GXriO90LicyjRsufGX252g%3D%3D"
"linkedin","Software Engineer I, ITC","Nike","Karnataka, India","https://in.linkedin.com/jobs/view/software-engineer-i-itc-at-nike-4340758308?position=8&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=eKrmpJIpifFWBHRJvUzy6w%3D%3D"
"linkedin","React Developer","Persistent Systems","Hyderabad, Telangana, India","https://in.linkedin.com/jobs/view/react-developer-at-persistent-systems-4205905672?position=9&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=mwKo1v8M7Fw%2FHqmyt0w7ng%3D%3D"
"linkedin","Software Engineer - Frontend","PayPal","Chennai, Tamil Nadu, India","https://in.linkedin.com/jobs/view/software-engineer-frontend-at-paypal-4348410085?position=10&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=ic%2B5Pj0o%2F7oBOTcF8wt%2FLw%3D%3D"
"linkedin","Software Engineer -2","Microsoft","Bengaluru, Karnataka, India","https://in.linkedin.com/jobs/view/software-engineer-2-at-microsoft-4341065632?position=11&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=my7RKWmPLIik7Hidw2VQSQ%3D%3D"
"linkedin","UI Developer","Persistent Systems","Hyderabad, Telangana, India","https://in.linkedin.com/jobs/view/ui-developer-at-persistent-systems-4205905707?position=12&pageNum=0&refId=SIFi8ZUq65mLTcT3ffXhkw%3D%3D&trackingId=3b15ib0lRRgvfdE25OoQjg%3D%3D"
